symbol,signal_ts,signal_date,hour,peak_hour,open,high,low,close,buy_signal,early_bull,scan_score,wt1,wt2,trend_strength,bar_state,htf_range_20d_pct,htf_dist_sma50_pct,htf_sma20_slope_pct,htf_score,gap_pct,bar_range_pct,bar_body_pct,close_loc,vol_ratio_20,dollar_vol_1h,bars_since_rth_open,dist_hod_pct,dist_lod_pct,consec_green,dist_20d_low_pct,dist_20d_high_pct,dist_52w_high_pct,close_vs_sma20,close_vs_sma50,close_vs_sma200,hh_hl_20,dist_20d_low_bounce,ticker_prior_mfe_p50,ticker_prior_hit1r_rate,ticker_prior_n,launch_score,phase,continuation_score_v0,continuation_score_v1,php_v0_admit,all_hours_admit,hit_1r,mfe,mae,mfe_ge_3,mfe_ge_5,killed,day_mfe,r_multiple,social_missing,guidance_cut,print,outlook,news_velocity_24h,news_velocity_72h,news_headline_count_48h,dilution_flag,distress_flag,unresolved,catalyst_type,st_msg_24h,st_bull_ratio,st_ok,x_posts_24h,x_authors_24h,x_engage_24h,x_sent_lex,x_ok
ABCL,2026-06-08 09:00:00-04:00,2026-06-08,10,0,5.85,5.94,5.555,5.63,False,True,25.61,-28.784304603744125,-27.316435090681853,-0.6734276563767058,red,0.7234,0.2692,0.1562,81.6,0.0151380231522706,0.0683836589698047,0.5714285714285697,0.1948051948051949,0.6881149188875438,3941200.224447349,2.0,0.0550621669626999,0.0133214920071048,0.0,0.300177619893428,0.2060390763765542,0.2060390763765542,0.0749403341288783,0.2714543812104787,0.3367206420057934,1,0.0,0.0,0.0,0.0,31.5,NEUTRAL,127.0,50.26,0,1,0,0.00492,0.049734,0,0,0,0.00492,0.0983999999999999,1.0,0.0,unknown,unknown,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
ABCL,2026-06-08 14:00:00-04:00,2026-06-08,15,0,5.45,5.53,5.44,5.475,False,True,18.53,-39.74438749924837,-38.429867447268016,-0.3611054910317581,yellow,0.7234,0.2692,0.1562,81.6,0.0151380231522706,0.0164383561643835,0.2777777777777723,0.3888888888888812,0.4709989630957812,2507297.88793365,7.0,0.0849315068493152,0.0228310502283105,3.0,0.2803652968036529,0.2401826484018265,0.2401826484018265,0.0453460620525059,0.2364498644986449,0.2999192744194882,1,0.0,0.00492,0.0,1.0,30.0,NEUTRAL,130.9,39.91,0,0,0,0.010046,0.013699,0,0,0,0.010046,0.20092,1.0,0.0,unknown,unknown,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
ABCL,2026-06-09 06:00:00-04:00,2026-06-09,7,1,5.6066,5.6066,5.51,5.51,True,False,18.21,-36.7688252353401,-39.12752138078877,0.0087513416479955,red,0.7234,0.2127,0.1449,81.6,0.0334746543778802,0.0175317604355717,1.0,0.0,0.0096766855344111,42339.7767,1.0,0.0175317604355717,0.0,0.0,0.2849364791288566,0.2323049001814882,0.2323049001814882,0.0502239588296959,0.2328276726182484,0.3062908215881746,1,0.0,0.007483,0.0,2.0,35.0,NEUTRAL,118.8,59.63,1,1,0,0.025408,0.060799,0,0,1,0.025408,-1.0,1.0,0.0,unknown,unknown,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
ABCL,2026-06-09 14:00:00-04:00,2026-06-09,15,0,5.27,5.3096,5.25,5.29,True,False,11.39,-48.67192406737449,-49.1346549457509,-0.039358022907227,yellow,0.7234,0.2127,0.1449,81.6,0.0334746543778802,0.011266540642722,0.3355704697986674,0.6711409395973199,0.2566051951341984,911976.5597895798,7.0,0.0680529300567108,0.0510396975425331,2.0,0.2551984877126654,0.2835538752362949,0.2835538752362949,0.0082912417802344,0.1836040631852149,0.2541340192743093,1,0.0,0.010046,0.0,3.0,35.0,NEUTRAL,137.3,41.07,0,0,0,0.006616,0.011342,0,0,0,0.006616,0.13232,1.0,0.0,unknown,unknown,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
ABCL,2026-06-11 06:00:00-04:00,2026-06-11,7,1,5.28,5.28,5.24,5.249,True,False,25.64,-39.53970697687969,-43.57469102779844,0.2146655860160818,red,0.7234,0.1196,0.1176,73.5,0.0352941176470589,0.0076204991426938,0.7750000000000139,0.2249999999999861,0.0102517318627436,27042.848,1.0,0.0059058868355878,0.001714612307106,0.0,0.249380834444656,0.2935797294722805,0.2935797294722805,-0.0013318112633182,0.15459064713387,0.2419112514935349,1,0.0,0.008331,0.0,4.0,36.6,NEUTRAL,111.6,66.23,1,1,0,0.013526,0.041532,0,0,0,0.013526,0.27052,1.0,0.0,unknown,unknown,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
ABCL,2026-06-11 13:00:00-04:00,2026-06-11,14,0,5.0999,5.32,5.05,5.295,True,False,56.27,-36.96727689443241,-43.15773124730912,0.9178641164136204,green,0.7234,0.1196,0.1176,73.5,0.0352941176470589,0.0509915014164306,0.7225925925925916,0.9074074074074062,1.466054411910788,4012373.51493585,6.0,0.0047214353163362,0.0498583569405099,1.0,0.2559017941454202,0.2823418319169027,0.2823418319169027,0.0074200913242008,0.1647089877260129,0.2527948326649396,1,0.0,0.010046,0.0,5.0,25.0,NEUTRAL,103.2,11.22,0,0,0,0.003777,0.018886,0,0,0,0.003777,0.07554,1.0,0.0,unknown,unknown,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
ABCL,2026-06-16 06:00:00-04:00,2026-06-16,7,1,5.33,5.33,5.27,5.27,False,True,35.36,-2.68959460857944,1.9770416647105196,-0.1880018337048409,red,0.7234,0.1309,0.0761,74.7,0.0133079847908745,0.0113851992409868,1.0,0.0,0.0093002349582982,20004.92,1.0,0.0113851992409868,0.0,0.0,0.2523719165085388,0.2884250474383303,0.2884250474383303,-0.0207191303539907,0.1330409356725145,0.2427340148326318,1,0.0,0.008331,0.0,6.0,54.1,LAUNCH,126.7,70.6,1,1,0,0.003776,0.049336,0,0,0,0.003776,0.0755199999999999,1.0,0.0,unknown,unknown,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
ABCL,2026-06-16 12:00:00-04:00,2026-06-16,13,1,5.075,5.235,5.075,5.205,False,True,44.25,-28.528755424235545,-21.527688368095525,0.1462559002772091,green,0.7234,0.1309,0.0761,74.7,0.0133079847908745,0.0307396733909702,0.8124999999999987,0.8124999999999987,1.6818522947289196,3800270.066460616,5.0,0.0240153698366954,0.037463976945245,2.0,0.2430355427473583,0.3045148895292987,0.3045148895292987,-0.0327975471522811,0.1190660474716202,0.2274061759400093,1,0.0,0.006616,0.0,7.0,31.9,NEUTRAL,96.7,77.82,1,1,0,0.012488,0.024976,0,0,0,0.012488,0.24976,1.0,0.0,unknown,unknown,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
ABCL,2026-06-16 13:00:00-04:00,2026-06-16,14,0,5.205,5.25,5.195,5.225,True,False,47.5,-24.390820124885405,-25.55079926778177,0.4108858237797269,yellow,0.7234,0.1309,0.0761,74.7,0.0133079847908745,0.0105263157894736,0.3636363636363577,0.5454545454545366,0.4017875883182376,904522.58290515,6.0,0.0200956937799043,0.0411483253588516,3.0,0.2459330143540669,0.2995215311004786,0.2995215311004786,-0.0290811112143456,0.1233660130718952,0.2321224340608161,1,0.0,0.008331,0.0,8.0,41.2,NEUTRAL,129.4,43.13,0,1,0,0.008612,0.028708,0,0,0,0.008612,0.1722399999999999,1.0,0.0,unknown,unknown,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
ABCL,2026-06-17 09:00:00-04:00,2026-06-17,10,0,5.2099,5.545,5.17,5.4,True,False,71.21,-14.08057023718831,-22.867772331616575,1.5878822818673366,green,0.7234,0.0864,0.0689,70.2,0.0068829891838741,0.0694444444444444,0.5069333333333338,0.6133333333333345,1.7406682228224666,3978692.7396768,2.0,0.0268518518518517,0.0518518518518518,2.0,0.2703703703703704,0.2574074074074073,0.2574074074074073,-0.0051584377302873,0.1525655254845044,0.2722046835979833,1,0.0,0.008612,0.0,9.0,5.0,EXTENSION,77.0,6.76,0,0,1,0.066667,0.013889,1,1,0,0.066667,1.0,1.0,0.0,unknown,unknown,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
