symbol,signal_ts,signal_date,hour,peak_hour,open,high,low,close,buy_signal,early_bull,scan_score,wt1,wt2,trend_strength,bar_state,htf_range_20d_pct,htf_dist_sma50_pct,htf_sma20_slope_pct,htf_score,gap_pct,bar_range_pct,bar_body_pct,close_loc,vol_ratio_20,dollar_vol_1h,bars_since_rth_open,dist_hod_pct,dist_lod_pct,consec_green,dist_20d_low_pct,dist_20d_high_pct,dist_52w_high_pct,close_vs_sma20,close_vs_sma50,close_vs_sma200,hh_hl_20,dist_20d_low_bounce,ticker_prior_mfe_p50,ticker_prior_hit1r_rate,ticker_prior_n,launch_score,phase,continuation_score_v0,social_missing,guidance_cut,print,outlook,news_velocity_24h,news_velocity_72h,news_headline_count_48h,dilution_flag,distress_flag,unresolved,catalyst_type,st_msg_24h,st_bull_ratio,st_ok,x_posts_24h,x_authors_24h,x_engage_24h,x_sent_lex,x_ok,continuation_score_v1,php_v0_admit,all_hours_admit,hit_1r,mfe,mae,mfe_ge_3,mfe_ge_5,killed,day_mfe,r_multiple
IREN,2026-06-08 06:00:00-04:00,2026-06-08,7,1,55.45,55.6,55.1408,55.45,True,False,21.12,-58.6848605510416,-62.73035754550618,0.2217821734196639,orange,0.5371,0.0895,0.1204,58.1,0.0199576933688954,0.0082813345356177,0.0,0.6733449477351967,0.0094235591048461,2994290.18784525,1.0,0.0027051397655545,0.0055761947700631,0.0,0.1704238052299369,0.2751415689810638,0.3862939585211902,-0.0554064988714276,0.1115209294680335,0.1854762589405115,0,0.0,0.0,0.0,0.0,41.2,NEUTRAL,95.5,1,0,unknown,unknown,0.0,1.0,0.5,0,0,0,none,0.0,0.5,0,0.0,0.0,0.0,0.0,0,52.38,1,1,1,0.076105,0.005591,1,1,0,0.076105,1.0
IREN,2026-06-10 09:00:00-04:00,2026-06-10,10,0,53.3,56.46,53.05,54.813,False,True,24.6,-31.25681139183408,-30.72785481128969,0.0525761488433992,yellow,0.5371,0.0655,0.0989,55.7,-0.0240651610514625,0.0622115191651616,0.4436950146627576,0.5170087976539599,0.9955730745881736,299488197.47118783,2.0,0.0300476164413551,0.0440224034444384,2.0,0.160783025924507,0.2899604108514402,0.4024045390691989,-0.0637538324892605,0.0811242603550295,0.1626779795837201,0,0.0,0.076105,1.0,1.0,36.2,NEUTRAL,110.0,1,0,unknown,unknown,0.0,1.0,0.5,0,0,0,none,0.0,0.5,0,0.0,0.0,0.0,0.0,0,73.83,0,1,0,0.011986,0.054604,0,0,1,0.011986,-1.0
IREN,2026-06-10 10:00:00-04:00,2026-06-10,11,1,54.835,55.47,53.1033,53.52,True,False,21.09,-31.348609101169732,-31.57024025622383,-0.5059026498302974,red,0.5371,0.0655,0.0989,55.7,-0.0240651610514625,0.0442208520179372,0.5556259770989128,0.1760679427050346,1.0114753722846406,291564139.4645765,3.0,0.0549327354260089,0.0209267563527654,0.0,0.14050822122571,0.3211248131539609,0.4362855007473841,-0.0858392190689293,0.0556213017751479,0.1352512263025322,0,0.0,0.0440455,0.5,2.0,41.2,NEUTRAL,111.7,1,0,unknown,unknown,0.0,1.0,0.5,0,0,0,none,0.0,0.5,0,0.0,0.0,0.0,0.0,0,89.72,1,1,0,0.009716,0.042975,0,0,0,0.009716,0.19432
IREN,2026-06-11 06:00:00-04:00,2026-06-11,7,1,52.91,53.1,52.81,52.85,False,True,14.49,-40.43382093165607,-40.18032293495419,-0.1327408478213806,orange,0.5371,0.0083,0.0707,50.0,0.0279774625995725,0.0054872280037842,0.2068965517241218,0.1379310344827561,0.0091574735545835,2403649.7714117,1.0,0.0047303689687795,0.0007568590350047,0.0,0.1296121097445601,0.3378732261116365,0.4544938505203406,-0.0933809086776397,0.0342870562448628,0.117473178529291,0,0.0,0.011986,0.3333333333333333,3.0,30.0,NEUTRAL,79.3,1,0,unknown,unknown,0.0,1.0,0.5,0,0,0,none,0.0,0.5,0,0.0,0.0,0.0,0.0,0,55.79,1,1,1,0.080227,0.039735,1,1,0,0.080227,1.0
IREN,2026-06-11 09:00:00-04:00,2026-06-11,10,0,52.12,53.76,50.75,53.74,True,False,38.6,-39.0600727497215,-40.389886632654296,0.3617251978024279,green,0.5371,0.0083,0.0707,50.0,0.0279774625995725,0.0560104205433568,0.538205980066447,0.993355481727576,1.2043458817186308,332584033.859744,2.0,0.0003721622627464,0.0556382582806103,1.0,0.1440267956829178,0.3157164123557869,0.4304056568663937,-0.0781133402523436,0.0517045676934518,0.136291553721175,0,0.0,0.0440455,0.5,4.0,51.0,LAUNCH,109.3,1,0,unknown,unknown,0.0,1.0,0.5,0,0,0,none,0.0,0.5,0,0.0,0.0,0.0,0.0,0,70.94,0,1,1,0.062337,0.021027,1,1,0,0.062337,1.0
IREN,2026-06-16 13:00:00-04:00,2026-06-16,14,0,60.36,61.85,60.25,61.455,True,False,50.92,20.190840411891173,20.05473751761861,0.3854127191544389,green,0.5371,0.1572,0.0252,59.9,-0.0121610517666393,0.026035310389716,0.6843749999999987,0.7531249999999983,0.8145699459715845,209197647.73960897,6.0,0.0091937189813685,0.0391343259295419,1.0,0.2514848262956635,0.1505426735009356,0.2508339435359207,0.0445401932539582,0.1687504041322282,0.2846340893662589,1,0.0,0.062337,0.6,5.0,35.0,NEUTRAL,100.7,1,0,unknown,unknown,0.0,1.0,0.5,0,0,0,none,0.0,0.5,0,0.0,0.0,0.0,0.0,0,61.74,0,1,0,0.007241,0.040924,0,0,0,0.007241,0.14482
IREN,2026-06-17 13:00:00-04:00,2026-06-17,14,0,59.4958,60.38,59.3,60.34,True,False,54.38,-19.248482339867834,-19.759312836343305,0.4543468993936393,green,0.5371,0.1153,0.0176,54.2,0.0081122190299137,0.0178985747431223,0.7816666666666634,0.962962962962964,0.8608419050055712,177833186.93202886,6.0,0.0154126615843553,0.0386145177328472,2.0,0.237653297978124,0.1718031156778255,0.273947630096122,0.0180443897048278,0.1371431586723658,0.2565800468458205,1,0.0,0.0371615,0.5,6.0,35.0,NEUTRAL,94.3,1,0,unknown,unknown,0.0,1.0,0.5,0,0,0,none,0.0,0.5,0,0.0,0.0,0.0,0.0,0,57.87,0,1,0,0.022042,0.043586,0,0,0,0.022042,0.4408399999999999
IREN,2026-06-22 09:00:00-04:00,2026-06-22,10,0,60.2,61.28,59.05,60.9304,True,False,69.94,0.5722293329813493,-4.4076361658041705,0.492523562151475,yellow,0.3932,0.1109,0.0225,45.1,-0.0104965011662779,0.0365991360634429,0.3275336322869931,0.8432286995515688,1.2544473926039406,298324581.2579355,2.0,0.005737694155955,0.0308614419074879,3.0,0.1670824416055039,0.1604486430418969,0.2616034032272889,0.0129489705161134,0.1289093765748673,0.2606735238055827,1,0.0,0.022042,0.4285714285714285,7.0,5.0,NEUTRAL,59.1,1,0,unknown,unknown,0.0,1.0,0.5,0,0,0,none,0.0,0.5,0,0.0,0.0,0.0,0.0,0,20.63,0,0,0,0.004425,0.050417,0,0,1,0.004425,-1.0
IREN,2026-06-23 10:00:00-04:00,2026-06-23,11,1,56.28,57.54,55.2,55.48,False,True,15.56,-56.55431651891898,-54.59816031384205,-0.9892588737262726,red,0.3932,0.046,0.0237,38.9,-0.0480211081794196,0.0421773612112472,0.3418803418803442,0.1196581196581172,1.3533512959508769,309812085.8552009,3.0,0.0371304974765681,0.0492069214131217,0.0,0.0852559480894015,0.2744520547945205,0.385544340302812,-0.0767489848898356,0.0204344387426658,0.1445092488539179,1,0.0,0.017014,0.375,8.0,30.0,NEUTRAL,84.8,1,0,unknown,unknown,0.0,0.0,0.0,0,0,0,none,0.0,0.5,0,0.0,0.0,0.0,0.0,0,79.5,1,1,0,0.017123,0.025234,0,0,0,0.017123,0.34246
IREN,2026-06-23 12:00:00-04:00,2026-06-23,13,1,55.03,56.43,54.89,55.48,True,False,10.22,-55.74848067637172,-57.05658468718951,-0.5348462740491027,yellow,0.3932,0.046,0.0237,38.9,-0.0480211081794196,0.0277577505407353,0.2922077922077896,0.3831168831168809,0.7341064803815158,164659631.37040177,5.0,0.0371304974765681,0.0492069214131217,1.0,0.0852559480894015,0.2744520547945205,0.385544340302812,-0.0767489848898356,0.0204344387426658,0.1445092488539179,1,0.0,0.017123,0.3333333333333333,9.0,35.0,NEUTRAL,80.6,1,0,unknown,unknown,0.0,0.0,0.0,0,0,0,none,0.0,0.5,0,0.0,0.0,0.0,0.0,0,81.8,1,1,0,0.016763,0.025234,0,0,0,0.016763,0.33526
IREN,2026-06-24 06:00:00-04:00,2026-06-24,7,1,55.42,55.49,55.18,55.18,True,False,8.94,-52.97168972994015,-54.48837531108315,-0.2344266329126155,red,0.3932,0.0008,0.0236,34.3,0.0124223602484471,0.0056179775280899,0.7741935483870975,0.0,0.0060787814657861,1181522.21164488,1.0,0.0056179775280899,0.0,0.0,0.08028271112722,0.2813809351214207,0.3930772018847409,-0.0801263617647302,0.0091994805859867,0.1349735051151452,0,0.0,0.016943,0.3,10.0,35.0,NEUTRAL,77.9,1,0,unknown,unknown,0.0,0.0,0.0,0,0,0,none,0.0,0.5,0,0.0,0.0,0.0,0.0,0,64.87,1,1,0,0.0,0.067778,0,0,1,0.0,-1.0
IREN,2026-06-24 15:00:00-04:00,2026-06-24,16,0,49.26,50.39,48.8401,50.295,False,True,16.47,-72.32095546664381,-70.70026003088081,-0.8988583267109436,green,0.3932,0.0008,0.0236,34.3,0.0124223602484471,0.0308161845113828,0.6677850183882851,0.9387057229498684,1.6117836669819554,315210608.8626733,8.0,0.1032905855452828,0.0289273287603141,1.0,-0.0090466249130131,0.4058375584054079,0.5283825429963217,-0.1615613513040432,-0.0801433875304058,0.0344960572628893,0,0.0,0.016763,0.2727272727272727,11.0,30.0,NEUTRAL,77.0,1,0,unknown,unknown,0.0,0.0,0.0,0,0,0,none,0.0,0.5,0,0.0,0.0,0.0,0.0,0,51.29,0,0,0,0.0,0.0,0,0,0,0.0,0.0
IREN,2026-09-04 15:00:00-04:00,2026-09-04,16,0,43.685,44.745,43.685,44.68,False,True,54.12,66.29244793226803,66.56396431893882,1.998526231521506,green,0.413,0.0339,0.0322,40.7,0.0076830732292917,0.023724261414503,0.9386792452830208,0.9386792452830208,1.478943403758713,303608834.60571975,8.0,0.0014547896150402,0.087958818263205,1.0,0.2209042076991942,0.1008281110116383,0.7204565801253359,0.0908269703794578,0.1091004321718559,-0.0217570386474936,1,0.0,0.0143745,0.25,12.0,30.0,NEUTRAL,75.9,1,0,unknown,unknown,0.0,0.0,0.0,0,0,0,none,0.0,0.5,0,0.0,0.0,0.0,0.0,0,43.49,0,0,0,0.0,0.0,0,0,0,0.0,0.0
TARS,2026-07-09 15:00:00-04:00,2026-07-09,16,0,64.525,65.46,64.08,64.09,False,True,36.31,-33.16323375377615,-33.16140750586794,-0.3538614100289106,red,0.283,0.0829,0.0457,39.6,-0.0101875092278162,0.0215322203151817,0.3152173913043505,0.0072463768115979,3.1005939946012053,35429943.67501667,7.0,0.0644125448587922,0.0371352785145889,0.0,0.1182711811515057,0.1312217194570135,0.3301607114994538,0.0047816884847534,0.0247448131187801,-0.0701173452713493,1,0.0,0.0,0.0,0.0,51.7,LAUNCH,103.0,1,0,unknown,unknown,0.0,0.0,0.0,0,0,0,none,0.0,0.5,0,0.0,0.0,0.0,0.0,0,60.23,0,0,0,0.0,0.0,0,0,0,0.0,0.0
TARS,2026-08-13 09:00:00-04:00,2026-08-13,10,0,70.72,71.345,69.82,70.29,True,False,46.33,52.91004957198865,51.51319198664601,0.5688947711624961,red,0.2759,0.1331,0.0106,37.2,0.0101414083702327,0.0216958315549865,0.2819672131147482,0.3081967213114828,0.4320240781906537,3382012.7959216502,1.0,0.0150092474036134,0.006686584151373,0.0,0.2141129605918338,0.0027030872101294,0.2128325508607197,0.149360444438994,0.1375829639304147,0.0274509488646185,1,0.0,0.0,0.0,1.0,41.2,NEUTRAL,88.1,1,0,unknown,unknown,0.0,0.0,0.0,0,0,0,none,0.0,0.5,0,0.0,0.0,0.0,0.0,0,17.67,0,1,0,0.003414,0.031726,0,0,0,0.003414,0.06828
TARS,2026-08-14 11:00:00-04:00,2026-08-14,12,1,68.75,69.64,68.6601,69.31,False,True,52.1,5.077508557783445,7.243829814259643,0.253157835948568,green,0.2915,0.1106,0.021,38.0,0.0004361098996945,0.0141379310344827,0.5714868864169833,0.6632309419328523,0.4297819259929944,2887733.11502676,3.0,0.004761217717501,0.0245274852113692,2.0,0.2030010099552734,0.0293608425912566,0.2299812436877795,0.123061155873143,0.1175733614110672,0.0129172154641228,1,0.0,0.001707,0.0,2.0,30.0,NEUTRAL,73.6,1,0,unknown,unknown,0.0,0.0,0.0,0,0,0,none,0.0,0.5,0,0.0,0.0,0.0,0.0,0,40.82,1,1,0,0.005627,0.003174,0,0,0,0.005627,0.11254
